Transaction ID,Production Lot Number,Process Name,Item Category,Item Name,Description,Quantity Produced,UoM,Expiry Date,Ref. Plant Lot Name,Ref. Plant Lot Number,Extraction License Number,Created Date,Created By,Status
PSC7Y2,PSC7Y2 | Hang Over G (Hybrid),,5265110013,อาคารสมเด็จย่า 93,ห้องทำใบ,4,ระยะทำใบ,27-Nov-22,เมล็ดพันธุ์,5166020004,-,27-Nov-22,Petlada Khositanon,Active
PCA5Y2 (BG),PCA5Y2 (BG) | BG: Banana Glue (Hybrid),,5265110010,อาคารสมเด็จย่า 93,ห้องทำดอก,8,ระยะทำดอก,5-Nov-22,ต้น Cloning,5166010002,-,5-Nov-22,Petlada Khositanon,Active
