Transaction ID,Plant Lot Name,Plant Lot Number,Growing Location,Sub Growing Location,Total Planted,Growth Stage,Item Used for Growing,Item Lot Number,Transaction Details,Company Name,Cultivation License Number,Created Date,Created By,Status
PSC7Y2,PSC7Y2 | Hang Over G (Hybrid),5265110013,อาคารสมเด็จย่า 93,ห้องทำใบ,4,ระยะทำใบ,เมล็ดพันธุ์,5166020004,-,"LEAPDELAB CO., LTD.",-,27-Nov-22,Petlada Khositanon,Active
PCA5Y2 (BG),PCA5Y2 (BG) | BG: Banana Glue (Hybrid),5265110010,อาคารสมเด็จย่า 93,ห้องทำดอก,8,ระยะทำดอก,ต้น Cloning,5166010002,-,"LEAPDELAB CO., LTD.",-,5-Nov-22,Petlada Khositanon,Active
