Transaction ID,Harvest Lot Number,Item Category,Item Name,Description,Quantity Harvested,UoM,Ref. Plant Lot Name,Ref. Plant Lot Number,Cultivation License Number,Created Date,Created By,Status
PCA692(AH),PCA692 (AH) | AH: Amnesia Haze,Harvested Product,Cannabis Plant,Cannabis Plant,9,Plants,PCA692 (AH),5265090003,-,23-Feb-23,Petlada Khositanon,Active
PCA692(CPK),PCA692 (CPK) | CPK: Critical Purple Kush,Harvested Product,Cannabis Plant,Cannabis Plant,8,Plants,PCA692 (CPK),5265090005,-,20-Jan-23,Petlada Khositanon,Active
